epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,14920,0.73317,0.3446,0.7772,0.89396,0.72388,0.79701,0.56849,0.7591,0.37926,0.78577,0.0005075,0.0005075,0.0005075
62,15141.6,0.77697,0.35765,0.7815,0.94592,0.71255,0.80249,0.56689,0.75913,0.38554,0.78409,0.000495125,0.000495125,0.000495125
63,15396.9,0.73943,0.3479,0.77965,0.89007,0.71192,0.79602,0.53947,0.82062,0.39538,0.78721,0.00048275,0.00048275,0.00048275
64,15635,0.74729,0.35006,0.77947,0.88286,0.7262,0.79734,0.56852,0.75015,0.38222,0.78592,0.000470375,0.000470375,0.000470375
65,15857.4,0.73725,0.34216,0.78075,0.93914,0.71077,0.78202,0.55795,0.75741,0.37992,0.78479,0.000458,0.000458,0.000458
66,16070.4,0.73423,0.33951,0.77874,0.90718,0.71924,0.78647,0.56109,0.7796,0.38251,0.78697,0.000445625,0.000445625,0.000445625
67,16300.3,0.75132,0.34467,0.78228,0.9081,0.7259,0.79927,0.56284,0.74786,0.38406,0.785,0.00043325,0.00043325,0.00043325
68,16540.5,0.7256,0.3381,0.77895,0.89897,0.71755,0.7963,0.56159,0.73847,0.37423,0.78467,0.000420875,0.000420875,0.000420875
69,16809.5,0.69915,0.3279,0.77843,0.91543,0.72964,0.80694,0.56954,0.74707,0.37375,0.78474,0.0004085,0.0004085,0.0004085
70,17065.6,0.71812,0.33521,0.78005,0.94046,0.73072,0.79986,0.56393,0.75903,0.37789,0.78484,0.000396125,0.000396125,0.000396125
71,17279.1,0.71539,0.33641,0.77707,0.93895,0.71799,0.80073,0.56572,0.75669,0.38186,0.78558,0.00038375,0.00038375,0.00038375
72,17515.9,0.70266,0.33007,0.77664,0.86443,0.71925,0.79586,0.56909,0.76288,0.37874,0.786,0.000371375,0.000371375,0.000371375
